ID,set_number,chamber,test_date,time_start,time_end,duration_check,sex,population,county,site,host_plant,flew,flight_type,NOTES,mass,EWM,trial_type,latitude,longitude
435,1,A-2,02.17.2020,8:15:00,11:35:00,12000.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.034,N,T1,25.2734885,-80.3040957
143,1,A-3,02.17.2020,8:15:00,08:45:00,1800.0,M,North Key Largo,North Key Largo,MM165,C. corindum,N,,,0.032,N,T1,25.2275238,-80.3283788
338,1,A-4,02.17.2020,8:15:00,09:15:00,3600.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.038,N,T1,25.2565615,-80.3108042
267,1,B-2,02.17.2020,8:15:00,19:56:05,42065.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.040,N,T1,27.298631,-81.36615
202,1,B-3,02.17.2020,8:15:00,11:26:00,11460.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,C,,0.037,N,T1,24.9735748,-80.5539224
374,1,B-4,02.17.2020,8:15:00,08:45:00,1800.0,F,Lake Placid,Highlands,110N Main,K.elegans,N,,,0.078,Y,T1,27.298631,-81.36615
275,1,A-3,02.17.2020,8:45:00,17:10:00,30300.0,M,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.030,N,T1,27.8967403,-81.5804654
63,1,B-1,02.17.2020,8:45:00,09:15:00,1800.0,F,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.069,N,T1,27.8967403,-81.5804654
252,1,B-4,02.17.2020,8:45:00,09:15:00,1800.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,,0.038,N,T1,25.491362,-80.485821
242,1,A-4,02.17.2020,9:15:00,09:55:00,2400.0,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.033,N,T1,25.2275238,-80.3283788
239,1,B-4,02.17.2020,9:15:00,09:50:00,2100.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.033,N,T1,25.1755702,-80.36780089
62,1,B-1,02.17.2020,9:18:00,21:26:24,43704.0,M,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,SENSOR: sensor readings very small drops ,0.033,N,T1,27.8967403,-81.5804654
21,1,B-4,02.17.2020,9:55:00,10:27:00,1920.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,B,,0.034,N,T1,25.2734885,-80.3040957
213,1,A-4,02.17.2020,9:55:00,10:27:00,1920.0,M,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.044,N,T1,25.1000151,-80.437522
74,1,A-4,02.17.2020,10:28:00,11:01:00,1980.0,M,Leesburg,Lake,Mount & 8th,K.elegans,Y,B,,0.033,N,T1,28.7963435,-81.8778849
381,1,B-4,02.17.2020,10:29:00,11:01:00,1920.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,N,,,0.033,N,T1,29.66200224,-82.347313
138,1,A-4,02.17.2020,11:02:00,11:35:00,1980.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.048,N,T1,25.1755702,-80.36780089
354,1,B-4,02.17.2020,11:04:00,12:12:00,4080.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,C,,0.027,N,T1,25.1820931,-80.3631938
427,1,A-2,02.17.2020,11:37:00,13:02:00,5100.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,C,,0.024,N,T1,25.19515,-80.345916
153,1,A-4,02.17.2020,11:39:00,12:11:00,1920.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.028,N,T1,25.491362,-80.485821
203,1,B-3,02.17.2020,11:40:00,12:27:00,2820.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,BC,DATA COL: blew on it by accident at 12:27; taken down at 12:41,0.044,N,T1,24.9735748,-80.5539224
179,1,A-4,02.17.2020,12:13:00,12:45:00,1920.0,F,Lake Wales,Polk,Polk Ave,K.elegans,N,,,0.053,N,T1,27.8967403,-81.5804654
23,1,B-4,02.17.2020,12:14:00,12:45:00,1860.0,M,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.034,N,T1,25.2734885,-80.3040957
92,1,A-4,02.17.2020,12:48:00,13:22:00,2040.0,F,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,Y,B,,0.084,N,T1,25.286747,-80.290592
223,1,B-3,02.17.2020,12:49:00,17:15:00,15960.0,F,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.031,N,T1,25.2734885,-80.3040957
189,1,B-4,02.17.2020,12:50:00,13:22:00,1920.0,F,Leesburg,Lake,Mount & 8th,K.elegans,Y,B,,0.041,N,T1,28.7963435,-81.8778849
426,1,A-2,02.17.2020,13:23:00,13:59:00,2160.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,B,,0.043,N,T1,25.19515,-80.345916
208,1,A-4,02.17.2020,13:25:00,13:59:00,2040.0,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,B,,0.040,N,T1,24.96424,-80.5673321
268,1,B-4,02.17.2020,13:27:00,18:43:18,18978.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.033,N,T1,27.298631,-81.36615
423,1,A-2,02.17.2020,14:00:00,14:31:00,1860.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.026,N,T1,25.1820931,-80.3631938
133,1,A-4,02.17.2020,14:00:00,14:31:00,1860.0,F,North Key Largo,North Key Largo,DD front,C. corindum,Y,B,,0.080,Y,T1,25.2734885,-80.3040957
114,1,A-2,02.17.2020,14:31:00,15:06:00,2100.0,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,B,,0.043,N,T1,25.1000151,-80.437522
199,1,A-4,02.17.2020,14:32:00,15:06:00,2040.0,F,Gainesville,Alachua,23rd & 8th,K.elegans,N,,,0.045,Y,T1,29.66200224,-82.347313
37,1,A-2,02.17.2020,15:07:00,15:38:00,1860.0,F,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.066,N,T1,25.1755702,-80.36780089
356,1,A-4,02.17.2020,15:08:00,15:38:00,1800.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.038,N,T1,25.1820931,-80.3631938
318,1,A-2,02.17.2020,15:39:00,17:34:00,6900.0,F,Key Largo,Key Largo,JP,C. corindum,Y,C,,0.039,N,T1,25.1284578,-80.4080913
36,1,A-4,02.17.2020,15:40:00,16:11:00,1860.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,Y,B,,0.051,N,T1,25.1755702,-80.36780089
144,2,A-2,02.18.2020,8:03:00,15:56:47,28427.0,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.033,N,T1,25.2275238,-80.3283788
100,2,A-3,02.18.2020,8:04:00,08:38:00,2040.0,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,B,,0.047,N,T1,25.2275238,-80.3283788
130,2,A-4,02.18.2020,8:05:00,15:48:00,27780.0,F,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.062,N,T1,25.2565615,-80.3108042
15,2,B-2,02.18.2020,8:06:00,08:38:00,1920.0,M,Key Largo,Key Largo,JP,C. corindum,Y,B,,0.042,N,T1,25.1284578,-80.4080913
219,2,B-3,02.18.2020,8:06:00,08:38:00,1920.0,F,Key Largo,Key Largo,JP,C. corindum,N,,,0.049,Y,T1,25.1284578,-80.4080913
264,2,B-4,02.18.2020,8:07:00,15:48:00,27660.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.032,N,T1,27.298631,-81.36615
4,2,A-3,02.18.2020,8:40:00,09:16:00,2160.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,,,0.035,N,T1,24.9735748,-80.5539224
32,2,B-1,02.18.2020,8:42:00,09:16:00,2040.0,F,North Key Largo,North Key Largo,Carysfort,C. corindum,N,,,0.064,N,T1,25.2565615,-80.3108042
329,2,B-2,02.18.2020,8:42:00,09:16:00,2040.0,F,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.078,Y,T1,25.2734885,-80.3040957
147,2,B-3,02.18.2020,8:45:00,09:16:00,1860.0,F,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,Y,B,,0.066,N,T1,25.286747,-80.290592
190,2,A-3,02.18.2020,9:19:00,09:53:00,2040.0,M,Leesburg,Lake,Mount & 8th,K.elegans,N,,,0.043,N,T1,28.7963435,-81.8778849
19,2,B-1,02.18.2020,9:20:00,19:12:07,35527.0,F,Key Largo,Key Largo,JP,C. corindum,Y,C,,0.050,N,T1,25.1284578,-80.4080913
164,2,B-2,02.18.2020,9:21:00,17:50:33,30573.0,F,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.053,N,T1,27.298631,-81.36615
431,2,B-3,02.18.2020,9:22:00,14:18:00,17760.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,BC,,0.040,N,T1,25.2734885,-80.3040957
228,2,A-3,02.18.2020,9:54:00,14:41:00,17220.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,C,,0.037,N,T1,25.19515,-80.345916
106,2,B-3,02.18.2020,14:21:00,14:51:00,1800.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.046,Y,T1,24.96424,-80.5673321
17,2,A-3,02.18.2020,14:53:00,20:03:38,18638.0,M,Key Largo,Key Largo,JP,C. corindum,Y,C,,0.040,N,T1,25.1284578,-80.4080913
270,2,B-3,02.18.2020,14:54:00,15:48:00,3240.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.027,N,T1,27.298631,-81.36615
122,2,A-4,02.18.2020,15:54:00,16:29:00,2100.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.032,N,T1,25.1820931,-80.3631938
442,2,B-3,02.18.2020,15:55:00,16:29:00,2040.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,B,,0.029,N,T1,25.2565615,-80.3108042
14,2,B-4,02.18.2020,15:56:00,16:29:00,1980.0,M,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.023,N,T1,25.1000151,-80.437522
160,3,A-2,02.19.2020,8:23:00,08:58:00,2100.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.045,N,T1,25.491362,-80.485821
443,3,A-3,02.19.2020,8:24:00,09:32:00,4080.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,BC,,0.038,N,T1,25.2565615,-80.3108042
444,3,A-4,02.19.2020,8:24:00,09:21:00,3420.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.036,N,T1,25.2565615,-80.3108042
326,3,B-1,02.19.2020,8:25:00,16:29:00,29040.0,F,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.085,Y,T1,25.2734885,-80.3040957
115,3,B-2,02.19.2020,8:25:00,08:58:00,1980.0,F,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.087,Y,T1,25.1000151,-80.437522
395,3,B-3,02.19.2020,8:26:00,08:58:00,1920.0,M,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.048,N,T1,25.1000151,-80.437522
151,3,B-4,02.19.2020,8:26:00,10:44:00,8280.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,C,,0.095,N,T1,25.491362,-80.485821
238,3,A-2,02.19.2020,9:00:00,09:31:00,1860.0,M,North Key Largo,North Key Largo,Dagny Trellis,C. corindum,N,,,0.034,N,T1,25.1755702,-80.36780089
311,3,B-2,02.19.2020,9:00:00,09:31:00,1860.0,M,Key Largo,Key Largo,KLMRL,C. corindum,N,,,0.036,N,T1,25.1000151,-80.437522
129,3,B-3,02.19.2020,9:00:00,09:31:00,1860.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,B,,0.036,N,T1,25.2565615,-80.3108042
441,3,A-2,02.19.2020,9:33:00,10:47:00,4440.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.052,N,T1,25.2565615,-80.3108042
204,3,A-3,02.19.2020,9:34:00,10:08:00,2040.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,B,,0.033,N,T1,24.9735748,-80.5539224
123,3,A-4,02.19.2020,9:35:00,10:08:00,1980.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,B,,0.030,N,T1,25.1820931,-80.3631938
28,3,B-2,02.19.2020,9:35:00,10:08:00,1980.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,B,,0.035,N,T1,25.19515,-80.345916
269,3,B-3,02.19.2020,9:36:00,17:40:00,29040.0,F,Lake Placid,Highlands,110N Main,K.elegans,Y,C,SENSOR: lost voltage reading ~ 5:10 PM (17:10) then resolved in 5 min,0.059,N,T1,27.298631,-81.36615
142,3,A-3,02.19.2020,10:10:00,15:43:00,19980.0,F,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.082,N,T1,25.2275238,-80.3283788
401,3,A-4,02.19.2020,10:11:00,10:44:00,1980.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.096,Y,T1,24.96424,-80.5673321
312,3,B-2,02.19.2020,10:12:00,11:30:00,4680.0,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,B,,0.038,N,T1,25.1000151,-80.437522
196,3,A-4,02.19.2020,10:44:00,11:32:00,2880.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,Y,C,,0.040,N,T1,29.66200224,-82.347313
347,3,B-4,02.19.2020,10:46:00,11:33:00,2820.0,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,B,,0.048,N,T1,25.2275238,-80.3283788
295,3,A-2,02.19.2020,10:48:00,14:19:00,12660.0,M,Gainesville,Alachua,23rd & 8th,K.elegans,Y,C,,0.033,N,T1,29.66200224,-82.347313
12,3,A-4,02.19.2020,11:34:00,13:47:00,7980.0,F,Key Largo,Key Largo,KLMRL,C. corindum,Y,C,,0.074,N,T1,25.1000151,-80.437522
432,3,B-2,02.19.2020,11:35:00,12:24:00,2940.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.039,N,T1,25.2734885,-80.3040957
412,3,B-4,02.19.2020,11:36:00,17:40:00,21840.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,C,,0.030,N,T1,25.1820931,-80.3631938
258,3,B-2,02.19.2020,12:25:00,12:55:00,1800.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,,0.025,N,T1,25.491362,-80.485821
45,3,B-2,02.19.2020,13:26:00,14:09:00,2580.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,BC,,0.033,N,T1,25.491362,-80.485821
109,3,A-4,02.19.2020,13:56:00,14:29:00,1980.0,F,Plantation Key,Plantation Key,Founder's,C. corindum,N,,,0.055,N,T1,24.96424,-80.5673321
27,3,A-2,2.19.2020,14:30:00,15:00:00,1800.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.120,Y,T1,25.19515,-80.345916
11,3,A-4,2.19.2020,14:31:00,15:15:00,2640.0,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,C,,0.043,N,T1,25.1000151,-80.437522
152,3,B-2,2.19.2020,14:32:00,15:00:00,1680.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.029,N,T1,25.491362,-80.485821
322,3,A-2,2.19.2020,15:01:00,17:08:00,7620.0,F,North Key Largo,North Key Largo,DD front,C. corindum,Y,C,,0.046,N,T1,25.2734885,-80.3040957
418,3,B-2,2.19.2020,15:02:00,21:03:42,21702.0,M,North Key Largo,North Key Largo,N. Dagny,C. corindum,Y,C,,0.046,N,T1,25.1820931,-80.3631938
33,3,A-4,2.19.2020,15:31:00,22:01:46,23446.0,M,North Key Largo,North Key Largo,Carysfort,C. corindum,Y,C,,0.044,N,T1,25.2565615,-80.3108042
292,3,A-3,2.19.2020,16:01:00,16:31:00,1800.0,F,Gainesville,Alachua,23rd & 8th,K.elegans,N,,,0.088,N,T1,29.66200224,-82.347313
227,3,A-3,2.19.2020,16:31:00,17:01:00,1800.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.112,Y,T1,25.19515,-80.345916
274,4,A-2,2.20.2020,8:15:00,08:45:00,1800.0,M,Lake Wales,Polk,Polk Ave,K.elegans,N,,,0.042,N,T1,27.8967403,-81.5804654
1,4,A-3,2.20.2020,8:15:00,08:50:00,2100.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,Y,C,,0.038,N,T1,24.9735748,-80.5539224
69,4,A-4,2.20.2020,8:15:00,08:45:00,1800.0,F,Lake Wales,Polk,Polk Ave,K.elegans,Y,B,,0.060,N,T1,27.8967403,-81.5804654
224,4,B-1,2.20.2020,8:15:00,09:26:00,4260.0,M,North Key Largo,North Key Largo,DD front,C. corindum,Y,BC,,0.047,N,T1,25.2734885,-80.3040957
159,4,B-2,2.20.2020,8:15:00,08:45:00,1800.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.032,N,T1,25.491362,-80.485821
107,4,B-3,2.20.2020,8:15:00,08:45:00,1800.0,M,Plantation Key,Plantation Key,Founder's,C. corindum,Y,B,,0.036,N,T1,24.96424,-80.5673321
409,4,B-4,2.20.2020,8:15:00,08:45:00,1800.0,M,Key Largo,Key Largo,JP,C. corindum,Y,B,,0.029,N,T1,25.1284578,-80.4080913
149,4,A-2,2.20.2020,8:50:00,09:27:00,2220.0,F,North Key Largo,North Key Largo,Dynamite Docks,C. corindum,N,,,0.082,Y,T1,25.286747,-80.290592
371,4,A-4,2.20.2020,8:51:00,09:27:00,2160.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,C,,0.031,N,T1,27.298631,-81.36615
320,4,B-2,2.20.2020,8:52:00,09:27:00,2100.0,M,Key Largo,Key Largo,JP,C. corindum,N,,,0.047,N,T1,25.1284578,-80.4080913
44,4,B-3,2.20.2020,8:53:00,09:27:00,2040.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,B,,0.062,N,T1,25.491362,-80.485821
375,4,B-4,2.20.2020,8:54:00,18:46:12,35532.0,F,Lake Wales,Polk,Polk Ave,K.elegans,Y,C,,0.063,N,T1,27.8967403,-81.5804654
71,4,A-3,2.20.2020,8:55:00,17:18:47,30227.0,M,Leesburg,Lake,Mount & 8th,K.elegans,Y,C,,0.035,N,T1,28.7963435,-81.8778849
104,4,A-2,2.20.2020,9:30:00,10:05:00,2100.0,M,Plantation Key,Plantation Key,Aregood Ln,C. corindum,N,,,0.057,N,T1,24.9735748,-80.5539224
360,4,A-4,2.20.2020,9:30:00,10:05:00,2100.0,F,North Key Largo,North Key Largo,N. Dagny,C. corindum,N,,,0.106,Y,T1,25.1820931,-80.3631938
155,4,B-1,2.20.2020,9:30:00,10:05:00,2100.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.092,Y,T1,25.491362,-80.485821
257,4,B-2,2.20.2020,9:30:00,10:05:00,2100.0,F,Homestead,Miami-Dade,SW 296th St,K.elegans,Y,BC,,0.042,N,T1,25.491362,-80.485821
396,4,B-3,2.20.2020,9:30:00,10:05:00,2100.0,M,Key Largo,Key Largo,KLMRL,C. corindum,Y,B,,0.051,N,T1,25.1000151,-80.437522
50,4,A-2,2.20.2020,10:08:00,10:41:00,1980.0,M,Homestead,Miami-Dade,SW 296th St,K.elegans,N,,,0.048,N,T1,25.491362,-80.485821
170,4,A-4,2.20.2020,10:08:00,10:42:00,2040.0,M,Lake Placid,Highlands,110N Main,K.elegans,Y,B,,0.045,N,T1,27.298631,-81.36615
229,4,B-1,2.20.2020,10:09:00,10:42:00,1980.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,N,,,0.095,Y,T1,25.19515,-80.345916
66,4,B-2,2.20.2020,10:10:00,10:42:00,1920.0,M,Lake Wales,Polk,Polk Ave,K.elegans,Y,B,,0.036,N,T1,27.8967403,-81.5804654
176,4,B-3,2.20.2020,10:11:00,10:43:00,1920.0,F,Lake Wales,Polk,Polk Ave,K.elegans,N,,,0.058,Y,T1,27.8967403,-81.5804654
145,4,A-2,2.20.2020,10:46:00,18:38:39,28359.0,M,North Key Largo,North Key Largo,MM165,C. corindum,Y,C,,0.046,N,T1,25.2275238,-80.3283788
244,4,A-4,2.20.2020,10:47:00,11:21:00,2040.0,F,North Key Largo,North Key Largo,MM165,C. corindum,N,,,0.115,Y,T1,25.2275238,-80.3283788
132,4,B-1,2.20.2020,10:48:00,11:21:00,1980.0,F,North Key Largo,North Key Largo,DD front,C. corindum,N,,,0.074,N,T1,25.2734885,-80.3040957
376,4,B-2,2.20.2020,10:49:00,11:22:00,1980.0,M,Lake Wales,Polk,Polk Ave,K.elegans,N,,,0.031,N,T1,27.8967403,-81.5804654
425,4,B-3,2.20.2020,10:50:00,11:22:00,1920.0,M,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,B,,0.027,N,T1,25.19515,-80.345916
167,4,A-4,2.20.2020,11:24:00,11:56:00,1920.0,M,Lake Placid,Highlands,110N Main,K.elegans,N,,,0.029,N,T1,27.298631,-81.36615
334,4,B-1,2.20.2020,11:24:00,22:01:55,38275.0,F,North Key Largo,North Key Largo,Charlemagne,C. corindum,Y,C,,0.056,N,T1,25.19515,-80.345916
