date_collected,ID,eggs
2020-02-17,93,1
2020-02-17,393,1
2020-02-17,389,3
2020-02-17,428,3
2020-02-17,41,6
2020-02-17,407,8
2020-02-17,321,9
2020-02-17,430,9
2020-02-17,188,14
2020-02-17,112,15
2020-02-17,132,17
2020-02-17,148,18
2020-02-17,29,20
2020-02-17,5,21
2020-02-17,327,22
2020-02-17,405,22
2020-02-17,420,25
2020-02-17,126,31
2020-02-17,387,31
2020-02-17,75,48
2020-02-17,337,52
2020-02-17,97,55
2020-02-17,13,59
2020-02-18,16,1
2020-02-18,195,1
2020-02-18,111,4
2020-02-18,390,5
2020-02-18,135,6
2020-02-18,234,7
2020-02-18,8,10
2020-02-18,227,11
2020-02-18,330,11
2020-02-18,221,14
2020-02-18,244,14
2020-02-18,340,14
2020-02-18,141,15
2020-02-18,222,15
2020-02-18,346,16
2020-02-18,328,21
2020-02-18,292,22
2020-02-18,374,22
2020-02-18,187,25
2020-02-18,217,25
2020-02-18,211,26
2020-02-18,336,26
2020-02-18,360,29
2020-02-18,133,30
2020-02-18,229,31
2020-02-18,101,37
2020-02-18,199,38
2020-02-18,30,40
2020-02-18,314,44
2020-02-18,302,45
2020-02-18,241,53
2020-02-18,149,55
2020-02-18,229,69
2020-02-19,472,1
2020-02-19,482,1
2020-02-19,447,2
2020-02-19,451,2
2020-02-19,497,3
2020-02-19,529,3
2020-02-19,538,3
2020-02-19,516,5
2020-02-19,520,5
2020-02-19,479,12
2020-02-19,462,16
2020-02-19,528,17
2020-02-19,548,17
2020-02-19,106,18
2020-02-19,523,18
2020-02-19,219,20
2020-02-19,545,22
2020-02-19,552,23
2020-02-19,508,26
2020-02-19,549,28
2020-02-19,465,29
2020-02-19,526,31
2020-02-19,329,34
2020-02-19,515,39
2020-02-19,553,39
2020-02-19,509,41
2020-02-19,511,42
2020-02-19,455,46
2020-02-19,494,54
2020-02-20,401,4
2020-02-20,326,15
2020-02-20,227,35
2020-02-20,115,106
2020-02-25,527,4
2020-02-25,480,6
2020-02-25,29,7
2020-02-25,140,7
2020-02-25,403,8
2020-02-25,520,9
2020-02-25,219,10
2020-02-25,136,15
2020-02-25,149,17
2020-02-25,451,19
2020-02-25,37,20
2020-02-25,326,20
2020-02-25,482,23
2020-02-25,141,26
2020-02-25,147,27
2020-02-25,345,29
2020-02-25,390,32
2020-02-25,318,33
2020-02-25,462,33
2020-02-25,31,35
2020-02-25,133,36
2020-02-25,132,38
2020-02-25,101,40
2020-02-25,115,40
2020-02-25,221,40
2020-02-25,91,42
2020-02-25,515,43
2020-02-25,241,44
2020-02-25,429,45
2020-02-25,405,46
2020-02-25,553,46
2020-02-25,526,49
2020-02-25,217,50
2020-02-25,508,50
2020-02-25,455,51
2020-02-25,111,52
2020-02-25,8,53
2020-02-25,389,54
2020-02-25,494,57
2020-02-25,465,60
2020-02-25,490,62
2020-02-25,360,63
2020-02-25,27,67
2020-02-25,135,89
2020-02-25,227,93
2020-02-25,229,95
2020-02-25,387,104
2020-02-25,330,109
2020-02-25,112,121
2020-02-26,504,2
2020-02-26,63,6
2020-02-26,545,6
2020-02-26,43,8
2020-02-26,535,8
2020-02-26,188,9
2020-02-26,41,12
2020-02-26,155,12
2020-02-26,233,12
2020-02-26,5,13
2020-02-26,339,15
2020-02-26,164,17
2020-02-26,401,17
2020-02-26,97,19
2020-02-26,375,20
2020-02-26,237,23
2020-02-26,59,24
2020-02-26,151,27
2020-02-26,459,29
2020-02-26,543,32
2020-02-26,314,33
2020-02-26,269,36
2020-02-26,254,38
2020-02-26,552,38
2020-02-26,176,39
2020-02-26,328,40
2020-02-26,407,42
2020-02-26,502,43
2020-02-26,493,45
2020-02-26,211,47
2020-02-26,329,59
2020-02-26,346,59
2020-02-26,428,65
2020-02-26,327,67
2020-02-26,244,68
2020-02-26,30,76
2020-02-26,156,83
2020-02-26,187,90
2020-02-26,246,90
2020-02-26,509,101
2020-02-26,420,106
2020-02-26,222,123
2020-02-28,451,7
2020-02-28,482,10
2020-02-28,455,13
2020-02-28,508,14
2020-02-28,515,14
2020-02-28,490,22
2020-02-28,553,36
2020-03-02,429,40
2020-03-02,233,10
2020-03-02,13,15
2020-03-02,92,3
2020-03-02,328,25
2020-03-02,29,15
2020-03-02,187,59
2020-03-02,37,21
2020-03-02,387,77
2020-03-02,136,30
2020-03-02,155,15
2020-03-02,420,28
2020-03-02,428,21
2020-03-02,407,20
2020-03-02,401,5
2020-03-02,329,52
2020-03-02,319,59
2020-03-02,339,14
2020-03-02,375,36
2020-03-02,393,26
2020-03-02,385,26
2020-03-02,327,59
2020-03-02,164,22
2020-03-02,112,58
2020-03-02,97,61
2020-03-02,5,57
2020-03-02,130,5
2020-03-02,132,14
2020-03-02,59,28
2020-03-02,140,16
2020-03-02,41,56
2020-03-02,156,56
2020-03-02,188,32
2020-03-02,63,63
2020-03-02,53,22
2020-03-02,47,1
2020-03-02,111,72
2020-03-02,43,24
2020-03-02,91,33
2020-03-02,27,60
2020-03-02,31,33
2020-03-02,30,67
2020-03-02,54,43
2020-03-02,96,5
2020-03-02,12,161
2020-03-02,8,29
2020-03-02,211,4
2020-03-02,253,30
2020-03-02,271,24
2020-03-02,217,3
2020-03-02,269,16
2020-03-02,221,37
2020-03-02,227,85
2020-03-02,229,78
2020-03-02,237,15
2020-03-02,314,14
2020-03-02,326,27
2020-03-02,334,4
2020-03-02,330,113
2020-03-02,318,28
2020-03-02,390,31
2020-03-02,360,82
2020-03-02,222,99
2020-03-02,254,13
2020-03-02,244,18
2020-03-02,214,32
2020-03-02,246,47
2020-03-02,176,28
2020-03-02,151,12
2020-03-02,147,7
2020-03-02,133,57
2020-03-02,161,7
2020-03-02,101,26
2020-03-02,115,77
2020-03-02,135,60
2020-03-10,31,46
2020-03-10,214,4
2020-03-10,130,2
2020-03-10,253,4
2020-03-10,269,51
2020-03-10,222,93
2020-03-10,5,39
2020-03-10,428,59
2020-03-10,390,65
2020-03-10,211,79
2020-03-10,20,55
2020-03-10,319,11
2020-03-10,360,82
2020-03-10,188,42
2020-03-10,330,90
2020-03-10,339,20
2020-03-10,7,8
2020-03-10,147,22
2020-03-10,101,27
2020-03-10,221,47
2020-03-10,63,75
2020-03-10,135,70
2020-03-10,552,3
2020-03-10,543,22
2020-03-10,69,19
2020-03-10,535,22
2020-03-10,528,6
2020-03-10,27,31
2020-03-10,91,39
2020-03-10,47,52
2020-03-10,13,60
2020-03-10,29,25
2020-03-10,37,12
2020-03-10,438,7
2020-03-10,97,80
2020-03-10,459,21
2020-03-10,161,11
2020-03-10,151,5
2020-03-10,140,23
2020-03-10,112,47
2020-03-10,176,8
2020-03-10,41,70
2020-03-10,318,30
2020-03-10,509,46
2020-03-10,504,7
2020-03-10,43,22
2020-03-10,545,45
2020-03-10,502,30
2020-03-10,227,94
2020-03-10,237,21
2020-03-10,385,16
2020-03-10,92,6
2020-03-10,30,95
2020-03-10,254,31
2020-03-10,155,11
2020-03-10,26,33
2020-03-10,115,3
2020-03-10,420,52
2020-03-10,342,1
2020-03-10,116,4
2020-03-10,393,2
2020-03-10,179,3
2020-03-10,48,2
2020-03-10,187,22
2020-03-10,54,14
2020-03-10,332,4
2020-03-10,217,3
2020-03-10,233,1
2020-03-10,401,4
2020-03-10,246,18
2020-03-10,156,14
2020-03-10,59,4
2020-03-10,314,1
2020-03-10,407,2
2020-03-10,271,10
2020-03-10,345,34
2020-03-10,251,2
2020-03-10,42,1
2020-03-10,12,168
2020-03-10,229,74
2020-03-10,164,22
2020-03-10,308,2
2020-03-10,328,52
2020-03-10,329,76
2020-03-10,133,85
2020-03-10,132,19
2020-03-10,136,72
2020-03-10,326,85
2020-03-10,375,32
2020-03-10,387,78
2020-03-10,429,39
2020-03-10,424,39
2020-03-10,327,77
2020-03-10,111,43
2020-02-24,188,51
2020-02-24,97,34
2020-02-24,5,79
2020-02-24,41,111
2020-02-24,109,7
2020-02-24,13,162
2020-02-24,54,32