stat,set,total,no_change,small_changes,large_changes,large_prop,large_cIDs
trough,set005,22,15,4,3,0.13636363636363635,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_332', None, 'B4_248', None, 'B4_91']"
speed,set005,22,17,2,3,0.13636363636363635,"[None, None, None, 'A2_45', None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_332', 'B3_389', None, None, None]"
distance,set005,22,16,6,0,0.0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
trough,set010,33,21,6,6,0.18181818181818182,"['A1_169', None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_113', 'A4_24', 'A4_323', None, 'A4_54', None, None, None, None, None, None, None, None, None, None, 'B3_301', None, None, None]"
speed,set010,33,22,3,8,0.24242424242424243,"['A1_169', None, None, None, None, None, None, None, None, 'A3_333', None, None, None, 'A4_101', 'A4_113', 'A4_24', 'A4_323', None, 'A4_54', None, None, None, None, None, None, None, None, None, None, 'B3_301', None, None, None]"
distance,set010,33,22,5,6,0.18181818181818182,"['A1_169', None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_113', 'A4_24', 'A4_323', None, 'A4_54', None, None, None, None, None, None, None, None, None, None, 'B3_301', None, None, None]"
trough,set011,47,25,10,12,0.2553191489361702,"[None, None, None, None, 'A1_62', None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_123', None, None, 'A4_325', 'A4_376', 'A4_421', 'A4_429', 'A4_433', 'A4_441', None, 'B2_18', None, 'B2_295', 'B2_36', 'B2_417', None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
speed,set011,47,29,2,16,0.3404255319148936,"[None, None, None, None, 'A1_62', None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_123', 'A4_152', None, 'A4_325', 'A4_376', 'A4_421', 'A4_429', 'A4_433', 'A4_441', None, 'B2_18', None, 'B2_295', None, 'B2_417', None, None, None, 'B3_26', None, 'B3_320', 'B3_387', 'B3_46', None, None, None, None, None, None]"
distance,set011,47,27,9,11,0.23404255319148937,"[None, None, None, None, 'A1_62', None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_123', None, None, 'A4_325', 'A4_376', 'A4_421', 'A4_429', 'A4_433', None, None, 'B2_18', None, 'B2_295', 'B2_36', 'B2_417', None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
trough,set004,31,17,5,9,0.2903225806451613,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B1_155', 'B1_224', 'B1_229', 'B1_334', None, None, None, None, None, None, 'B3_107', 'B3_176', None, 'B3_425', 'B3_44', 'B4_375', None]"
speed,set004,31,19,4,8,0.25806451612903225,"[None, None, None, None, None, None, None, None, 'A4_170', None, None, None, None, None, 'B1_155', 'B1_224', 'B1_229', None, None, None, None, None, None, None, 'B3_107', 'B3_176', None, 'B3_425', 'B3_44', None, None]"
distance,set004,31,19,4,8,0.25806451612903225,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B1_155', 'B1_224', 'B1_229', 'B1_334', None, None, None, None, None, None, 'B3_107', 'B3_176', None, None, 'B3_44', 'B4_375', None]"
trough,set006,43,32,8,3,0.06976744186046512,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_262', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_415', None, 'B4_403']"
speed,set006,43,32,4,7,0.16279069767441862,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_262', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_103', None, None, 'B3_230', 'B3_233', 'B3_411', 'B3_415', 'B3_43', None]"
distance,set006,43,32,9,2,0.046511627906976744,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_262', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_415', None, None]"
trough,set002,21,13,6,2,0.09523809523809523,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_431', 'B3_442', None, None]"
speed,set002,21,14,3,4,0.19047619047619047,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_147', None, 'B3_270', 'B3_431', 'B3_442', None, None]"
distance,set002,21,15,4,2,0.09523809523809523,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_431', 'B3_442', None, None]"
trough,set003,35,25,9,1,0.02857142857142857,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B4_412']"
speed,set003,35,30,4,1,0.02857142857142857,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_395', None, None, None]"
distance,set003,35,26,9,0,0.0,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
trough,set016,38,23,8,7,0.18421052631578946,"[None, None, None, None, None, None, None, None, None, None, None, 'A3_324', None, 'A4_206', None, 'A4_218', None, None, None, None, None, None, None, None, 'B2_169', None, None, None, 'B3_108', None, 'B3_225', None, None, None, None, None, None, 'B4_53']"
speed,set016,38,28,4,6,0.15789473684210525,"[None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_206', None, None, None, None, None, None, None, 'B1_314', None, None, None, 'B2_170', None, None, 'B3_108', 'B3_115', 'B3_225', None, None, None, None, None, None, None]"
distance,set016,38,23,11,4,0.10526315789473684,"[None, None, None, None, None, None, None, None, None, None, None, 'A3_324', None, None, None, 'A4_218', None, None, None, None, None, None, None, None, None, None, None, None, 'B3_108', None, 'B3_225', None, None, None, None, None, None, None]"
trough,set001,37,28,7,2,0.05405405405405406,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B1_62', None, None, 'B3_202', None, None, None, None, None, None, None, None, None, None, None]"
speed,set001,37,32,2,3,0.08108108108108109,"[None, None, None, None, None, None, None, 'A3_143', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_202', None, None, None, None, None, 'B4_239', None, None, None, None, None]"
distance,set001,37,29,7,1,0.02702702702702703,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_202', None, None, None, None, None, None, None, None, None, None, None]"
trough,set009,30,18,9,3,0.1,"[None, None, None, None, None, None, 'A4_154', None, 'A4_26', None, 'A4_384', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
speed,set009,30,23,3,4,0.13333333333333333,"[None, None, None, None, None, 'A3_245', 'A4_154', None, 'A4_26', None, 'A4_384', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
distance,set009,30,22,6,2,0.06666666666666667,"[None, None, None, None, None, None, None, None, 'A4_26', None, 'A4_384', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
trough,set013,52,29,10,13,0.25,"[None, None, 'A1_22', None, 'A1_315', None, None, 'A1_419', 'A1_424', None, None, None, None, None, None, None, None, None, None, 'A4_15', 'A4_153', None, 'A4_164', 'A4_28', None, 'A4_352', 'A4_41', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_350', None, None, 'B4_19', 'B4_21', None, None, None, None]"
speed,set013,52,36,2,14,0.2692307692307692,"[None, None, 'A1_22', None, 'A1_315', None, None, 'A1_419', 'A1_424', None, None, None, None, None, None, None, None, None, None, 'A4_15', 'A4_153', 'A4_154', 'A4_164', 'A4_28', None, 'A4_352', 'A4_41', None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_329', None, 'B3_350', None, 'B3_57', None, None, None, None, None, None]"
distance,set013,52,29,11,12,0.23076923076923078,"[None, None, 'A1_22', None, None, None, None, 'A1_419', 'A1_424', None, None, None, None, None, None, None, None, None, None, 'A4_15', 'A4_153', None, 'A4_164', 'A4_28', None, 'A4_352', 'A4_41', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B3_350', None, None, 'B4_19', 'B4_21', None, None, None, None]"
trough,set015,63,28,18,17,0.2698412698412698,"[None, 'A1_135', 'A1_211', 'A1_212', 'A1_248', 'A1_253', None, 'A1_31', 'A1_311', 'A1_335', 'A1_347', 'A1_395', None, 'A1_434', None, None, None, None, None, None, None, None, None, None, None, None, None, 'A3_406', None, None, None, None, None, None, None, 'A4_231', None, None, None, 'A4_354', None, None, None, None, None, None, None, None, 'B3_147', None, None, None, None, None, 'B4_20', None, None, None, None, 'B4_391', None, None, None]"
speed,set015,63,36,5,22,0.3492063492063492,"[None, 'A1_135', 'A1_211', 'A1_212', 'A1_248', 'A1_253', None, 'A1_31', 'A1_311', 'A1_335', 'A1_347', 'A1_395', 'A1_397', 'A1_434', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_146', None, 'A4_213', 'A4_222', None, 'A4_231', None, 'A4_330', None, 'A4_354', None, 'A4_418', None, None, None, None, None, None, 'B3_147', 'B3_17', None, None, None, None, 'B4_20', None, None, None, None, None, None, None, None]"
distance,set015,63,32,15,16,0.25396825396825395,"[None, 'A1_135', 'A1_211', 'A1_212', 'A1_248', 'A1_253', None, 'A1_31', 'A1_311', 'A1_335', 'A1_347', 'A1_395', None, 'A1_434', None, None, None, None, None, None, None, None, None, None, None, None, None, 'A3_406', None, None, None, None, None, None, None, None, None, None, None, 'A4_354', None, None, None, None, None, None, None, None, 'B3_147', None, None, None, None, None, 'B4_20', None, None, None, None, 'B4_391', None, None, None]"
trough,set007,41,28,9,4,0.0975609756097561,"['A1_201', None, 'A1_394', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_48', 'A4_56', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
speed,set007,41,34,4,3,0.07317073170731707,"['A1_201', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_48', None, None, None, None, None, None, None, None, 'B3_310', None, None, None, None, None, None, None, None, None, None]"
distance,set007,41,33,5,3,0.07317073170731707,"['A1_201', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_48', 'A4_56', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
trough,set008,41,28,10,3,0.07317073170731707,"[None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_140', None, 'A4_307', None, None, 'A4_421', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
speed,set008,41,33,1,7,0.17073170731707318,"[None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_140', None, 'A4_307', None, None, 'A4_421', 'A4_95', None, None, None, None, None, None, None, None, None, None, None, None, 'B3_120', 'B3_200', 'B3_265', None, None, None, None, None, None]"
distance,set008,41,29,9,3,0.07317073170731707,"[None, None, None, None, None, None, None, None, None, None, None, None, None, 'A4_140', None, 'A4_307', None, None, 'A4_421', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
trough,set012,52,30,12,10,0.19230769230769232,"[None, 'A1_282', None, 'A1_47', 'A1_66', None, None, None, None, None, None, None, None, None, None, None, 'A4_145', 'A4_205', 'A4_316', None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B2_271', None, None, None, 'B2_331', None, None, None, None, None, None, None, 'B3_415', None, None, None, 'B4_215', None, None]"
speed,set012,52,32,7,13,0.25,"['A1_142', 'A1_282', None, 'A1_47', None, None, None, None, None, None, None, None, None, None, None, 'A4_129', None, 'A4_205', 'A4_316', 'A4_416', 'A4_83', 'A4_91', None, None, None, None, None, None, None, None, None, None, None, 'B2_271', None, None, None, 'B2_331', None, None, None, None, 'B3_144', 'B3_193', None, None, None, None, None, None, None, None]"
distance,set012,52,32,11,9,0.17307692307692307,"[None, 'A1_282', None, 'A1_47', 'A1_66', None, None, None, None, None, None, None, None, None, None, None, None, 'A4_205', 'A4_316', None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'B2_271', None, None, None, 'B2_331', None, None, None, None, None, None, None, 'B3_415', None, None, None, 'B4_215', None, None]"
trough,set014,28,12,7,9,0.32142857142857145,"[None, None, None, 'A1_409', None, None, None, None, None, None, None, None, None, None, 'A4_242', None, None, 'A4_411', 'A4_413', None, None, 'B3_151', 'B3_161', None, 'B3_304', None, 'B4_240', 'B4_385']"
speed,set014,28,19,1,8,0.2857142857142857,"[None, None, None, 'A1_409', None, None, None, None, None, None, None, None, None, None, 'A4_242', 'A4_306', None, 'A4_411', 'A4_413', None, None, 'B3_151', 'B3_161', None, 'B3_304', None, None, None]"
distance,set014,28,14,7,7,0.25,"[None, None, None, 'A1_409', None, None, None, None, None, None, None, None, None, None, 'A4_242', None, None, 'A4_411', 'A4_413', None, None, 'B3_151', None, None, None, None, 'B4_240', 'B4_385']"
